"","material","HV30_OK","HV30_NOK","stima_OK","stima_NOK","HV30_dd","stima_dd"
"1",1,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA
"5",5,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA,NA
"7",7,NA,NA,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA,NA
"9",9,NA,NA,NA,NA,NA,NA
"10",10,NA,NA,NA,NA,NA,NA
